id;numero;type;echeance;code_crypto
1;Cambridgeshire Reduced;MASTERCARD;2021-12-18T22:18:24;index magenta
2;Arkansas proactive;VISA;2021-12-19T13:31:22;array
3;deliver Granite withdrawal;EUROCARD;2021-12-18T18:24:00;Tuna
4;Monetary;VISAPLUS;2021-12-18T15:53:22;Bacon XSS Dynamic
5;multi-byte IB Incredible;EUROCARD;2021-12-18T15:52:10;Hawaii bypass
6;indexing;VISAPLUS;2021-12-18T22:50:57;SQL superstructure Rupiah
7;Arizona collaboration multi-state;EUROCARD;2021-12-19T01:54:56;Tennessee indexing copy
8;Colombia Delaware;MASTERCARD;2021-12-19T04:26:26;embrace
9;Principal Sri;VISA;2021-12-19T12:11:11;quantify
10;Movies parse Berkshire;EUROCARD;2021-12-19T05:09:33;Montana Saint Frozen
