id;numero;type;solde;decouvert;taux_renumeration
1;IB connecting;COMPTEPLACEMENT;72474;6813;55845
2;Direct;COMPTEPLACEMENT;38954;41323;69645
3;Clothing Usability;COMPTEEPARGNE;58797;29368;10676
4;Fish drive Texas;COMPTEPLACEMENT;71646;57083;94151
5;Toys Checking;COMPTEEPARGNE;39579;57606;84554
6;background Enhanced archive;COMPTECHEQUE;94865;43611;74736
7;microchip Ergonomic Soft;COMPTEPLACEMENT;44332;13120;68110
8;Timor-Leste Agent;COMPTEPLACEMENT;92030;42084;19283
9;Palladium EXE;COMPTEPLACEMENT;15259;19552;10127
10;Handcrafted turn-key Rustic;COMPTEEPARGNE;21192;49402;88191
